TWAS	GWAS	Overlapped
GGT5	LOC112448561	
GGT7	LOC112448733	
GIGYF1	LOC112448810	
GIMAP5	LOC112448818	
GKAP1	LOC112448868	
GLCCI1	LOC112448872	
GLE1	LOC112448896	
GLIPR1	LOC112448906	
GLIPR2	LOC112448937	
GLMN	LOC112448944	
GLOD4	LOC112448945	
GLP1R	LOC112448971	
GLRX	LOC112449025	
GLT8D1	LOC112449026	
GMIP	LOC112449035	
GMPPA	LOC112449087	
GMPR	LOC112449112	
GMPR2	LOC112449118	
GNA12	LOC112449134	
GNA15	LOC112449139	
GNAI1	LOC112449149	
GNAO1	LOC112449160	
GNRH2	LOC112449161	
GOLGA5	LOC112449250	
GOLGA7	LOC112449251	
GOLGB1	LOC112449279	
GPATCH1	LOC112449280	
GPIHBP1	LOC112449377	
GPNMB	LOC112449517	
GPR1	LOC112449524	
GPR132	LOC112449555	
GPR171	LOC112449571	
GPR87	LOC112449572	
GPRIN1	LOC112449579	
GPSM1	LOC112449583	
GPT	LOC112449598	
GPT2	LOC112449612	
GRAP2	LOC112449615	
GRB2	LOC112449632	
GRB7	LOC112449636	
GRHL1	LOC112449645	
GRHL2	LOC112449647	
GRK4	LOC112449653	
GSC2	LOC112449659	
GSTT4	LOC506323	
GTF2B	LOC506707	
GTF2F1	LOC509410	
GTPBP1	LOC509941	
GTPBP4	LOC510257	
GUCY1B1	LOC510520	
GUCY2D	LOC511175	
GYG1	LOC511354	
GZMB	LOC512249	
H2AFY2	LOC512973	
HABP4	LOC513186	
HACD1	LOC513508	
HADH	LOC514257	
HAGHL	LOC514680	
HAP1	LOC515255	
HAPLN1	LOC516439	
HAUS8	LOC518224	
HCK	LOC518980	
HDAC1	LOC522128	
HDAC4	LOC523461	
HDGFL2	LOC524391	
HDHD3	LOC525947	
HECW2	LOC525964	
HEMK1	LOC526089	
HENMT1	LOC526163	
HERC2	LOC526276	
HGFAC	LOC526877	
HHIP	LOC527335	
HIBADH	LOC528043	
HIGD1A	LOC528767	
HIKESHI	LOC537017	
HINT3	LOC540096	
HIRIP3	LOC613660	
HJURP	LOC614619	
HMG20B	LOC614881	
HMGA1	LOC615204	
HMGB1	LOC615258	
HMGCS2	LOC615674	
HMGN1	LOC616304	
HNRNPA1	LOC617654	
HNRNPA2B1	LOC617833	
HNRNPDL	LOC618076	
HNRNPH3	LOC618212	
HNRNPL	LOC618377	
HNRNPLL	LOC781064	
HNRNPM	LOC781139	
HNRNPUL2	LOC781197	
HOMER2	LOC781358	
HOOK2	LOC781466	
HOXA3	LOC781498	
HOXA5	LOC781502	
HOXA9	LOC781670	
HOXB4	LOC781950	
HOXB8	LOC782026	
HPF1	LOC782039	
HPGD	LOC782043	
HSBP1	LOC782100	
HSD11B1L	LOC782120	
HSD11B2	LOC782142	
HSD17B2	LOC782217	
HSF4	LOC782219	
HSP90AA1	LOC782226	
HSPA4	LOC782261	
HSPA4L	LOC782329	
HSPB11	LOC782348	
HSPB7	LOC782385	
HSPB8	LOC782418	
HSPG2	LOC782529	
HYI	LOC782660	
HYPK	LOC782748	
ICOS	LOC782754	
IDH1	LOC782755	
IDH2	LOC782830	
IDI1	LOC782905	
IER5L	LOC782926	
IFFO1	LOC782999	
IFNGR2	LOC783160	
IFNLR1	LOC783699	
IFT122	LOC783920	
IFT140	LOC783939	
IFT52	LOC784088	
IFT57	LOC784462	
IFT74	LOC784791	
IGSF8	LOC785077	
IK	LOC785233	
IKZF1	LOC785503	
IKZF3	LOC785873	
IL11	LOC785933	
IL11RA	LOC785941	
IL12RB2	LOC786065	
IL16	LOC786231	
IL17B	LOC786584	
IL18	LOC786643	
IL18RAP	LOC786692	
IL1R2	LOC787733	
IL1RL2	LOC787799	
IL20RB	LOC787851	
IL2RA	LOC787998	
IL7	LOC788031	
IL7R	LOC788223	
ILF3	LOC788467	
ILK	LOC788820	
ILKAP	LOC788961	
IMMP2L	LOC788997	
IMPA2	LOC789193	
INAVA	LOC789304	
ING3	LOC790098	
INO80	LPIN2	
INPP4A	LRCH1	
INPP5A	LRMP	
INSR	LRP1B	
IPO13	LRRC4C	
IQANK1	LRRC59	
IQCA1	LRRC7	
IQCB1	LSAMP	
IQCD	LSM8	
IQGAP2	LTBP1	
IQSEC1	LYPD6B	
IRAK2	LYRM1	
IRF6	LYZL1	
IRX3	LZTS1	
IRX5	MACROD2	
ISCU	MAD1L1	
ISLR2	MAL	
ISPD	MAP1B	
ISY1	MAP1S	
ISYNA1	MAP2K6	
ITGA10	MAP4	
ITGA7	MAP4K4	
ITGAL	MAPK8	
ITGAX	MAST4	
ITGB1	MB	
ITGB2	MCHR2	
ITK	MDGA2	
ITPR1	MDM1	
ITSN1	MDM2	
JAK1	ME1	
JAML	ME3	
JMJD7	MED30	
JPH2	MEFV	
JTB	MERTK	
JUP	MFSD14B	
KALRN	MGAM	
KANK1	MLLT3	
KANK2	MME	
KANK4	MORN3	
KANSL2	MOXD1	
KAT2B	MPPED1	
KATNA1	MPTX	
KAZN	MRPL13	
KBTBD12	MRPL27	
KCNE4	MSGN1	
KCNH2	MTBP	
KCNIP1	MTTP	
KCNIP3	MUC16	
KCNK1	MYBL2	
KCNK7	MYCBPAP	
KCNMA1	MYH10	
KCNMB1	MYLIP	
KCNN2	MYO1D	
KCTD10	MYO7B	
KCTD15	MYT1L	
KCTD2	NAA11	
KDF1	NAA16	
KDM3B	NAAA	
KHDRBS3	NAPB	
KIAA0141	NBEA	
KIAA0408	NCKAP5	
KIAA1211L	NCOR2	
KIAA1841	NDRG1	
KIDINS220	NDST4	
KIF11	NDUFV3	
KIF13A	NEDD1	
KIF20B	NEDD4	
KIF3C	NEDD9	
KIRREL1	NELL1	
KLC1	NETO2	
KLC3	NEU2	
KLC4	NINL	
KLF15	NKAIN2	
KLF4	NKAIN3	
KLHDC4	NLGN1	
KLHDC8B	NLRP13	
KLHL11	NLRP14	
KLHL22	NLRP5	
KLHL23	NOD1	
KLHL26	NOG	
KLHL29	NONE	
KLHL38	NOS1AP	
KLHL7	NOS2	
KRBA1	NPHS2	
KREMEN2	NRCAM	
KRT15	NRG3	
KRT17	NSG2	
KRT42	NSRP1	
KRT5	NSUN3	
KTI12	NTSR1	
KYNU	NUGGC	
LAD1	NUP54	
LAG3	NUPL2	
LAMA1	ODAM	
LAMA2	ODAPH	
LAMA3	OLFM3	
LAMA4	OLFML1	
LAMB1	OR10A3	
LAMB2	OR10J5	
LAMC1	OR2A12	
LAMC3	ORAI1	
LAMP3	OSBP2	
LAMTOR4	OXSR1	
LARGE2	P3H1	
LARP7	PACRG	
LAT	PAH	
LAT2	PAPD7	
LCK	PAQR3	
LCLAT1	PARD3B	
LCP1	PARVB	
LCP2	PATJ	
LDB3	PBX1	
LDHA	PCCA	
LDHB	PCDH15	
LENG1	PCDH17	
LENG8	PCDH8	
LEPROTL1	PCDH9	
LGALS1	PCGF5	
LGALS3BP	PCLO	
LGALS4	PCM1	
LGI4	PCSK5	
LGR6	PCSK6	
LHPP	PDE1A	
LIMS2	PDE9A	
LIPH	PDGFD	
LITAF	PDLIM3	
LLGL2	PDZRN3	
LMBR1L	PELI2	
LMO3	PEX1	
LMOD1	PEX2	
LOC100138660	PHF20L1	
LOC100138922	PHF24	
LOC100140372	PHKB	
LOC100140915	PI15	
LOC100141266	PID1	
LOC100296211	PIGK	
LOC100296900	PIGU	
LOC100297498	PIP5K1B	
LOC100297725	PIPOX	
LOC100298923	PKHD1L1	
LOC100299201	PKIB	
